Company Name,Stock Name,Filing Time,New Product,Product Description
Boeing Company,BA,2024-11-07T07:00:47-05:00,NMA (Naked Model Aircraft),New Narrow-Field-of-View (NFoV) aircraft design with improved efficiency and reduced emissions.
Spectra Gases Corp.,BSX,2024-10-23T06:32:53-04:00,New Helium Refractory Alloys for Cryogenic Applications,Improve heat resistance and high strength properties
BioTime Inc.,BSX,2024-05-06T16:13:43-04:00,EXCEL-LS,Cell therapy product for treatment of neurodegenerative diseases
Boston Scientific Corporation,BSX,2024-04-24T06:34:09-04:00,Lumen RX+ Smart Catheter,Next-generation catheter for minimally invasive procedures
Boston Scientific Corporation,BSX,2024-02-27T16:37:36-05:00,EliVaxTM Xcelerator System for implantable cardioverter-defibrillators,Enhanced pacing and sensing capabilities, improved patient outcomes and reduced complications
Bayer AG,BAYN.F,2024-01-31T16:32:40-05:00,Bayer announces new portfolio of treatments for multiple sclerosis, with a focus on improving treatment options for patients.,Expanded treatment portfolio for MS
Cleveland Cliffs Inc.,CLF,2024-01-08T17:17:14-05:00,Iron Bridge Northshore Pellet Plant,Expansion of iron ore pellet production facility
Boston Scientific Corporation,BMY,2025-02-06T07:46:11-05:00,EMAX 3.0,Next-generation electrophysiology ablation system for treating atrial fibrillation and other cardiac arrhythmias.
Bristol Myers Squibb Company,BMY,2024-06-18T16:23:00-04:00,Aduhelm (Oligoclonal antibodies for treatment of adult patients with relapsing multiple sclerosis) and Olumiant (Etanercept-zlbk, a TNF inhibitor), and Opdivo (nivolumab, an immune checkpoint inhibitor),Announcement of new product releases
BioMatters Inc.,BMY,2024-03-18T17:30:20-04:00,NeuroBoost Brain Health Supplement,New dietary supplement for brain health and cognitive function.
Johnson & Johnson,JNJ,2024-02-14T16:32:28-05:00,Syrinx Medical,Advanced neuromodulation system for treating neurological conditions.
Bristol Myers Squibb Company,BMY,2024-01-08T10:29:24-05:00,Doxycycline hyclate tablets, USP 100 mg for oral use,A new oral dosage form of doxycycline.
Broadcom Inc.,AVGO,2023-10-23T16:59:14-04:00,ADRENALIN 7.1 Gbps Ethernet Switches,Enhanced switches for data center and enterprise applications.
Broadcom Inc.,AVGO,2024-09-05T16:21:56-04:00,Broadband network infrastructure for smart homes and cities,Designed to enable efficient energy management and automation of home appliances and lighting systems.
Broadcom Inc.,AVGO,2024-07-12T16:52:58-04:00,BdLink 3.0 WiFi6 AX210,AI-enhanced WiFi6 system-on-chip
Broadcom Inc.,AVGO,2024-06-12T16:19:05-04:00,SMB8500 5G Wi-Fi System,High-performance Wi-Fi system for 5G networks
Broadcom Inc.,AVGO,2024-04-23T18:03:08-04:00,UltraScale+ 8-core ARM-based SoC for 5G Network Devices,High-performance processor for next-generation network devices
Broadcom Inc.,AVGO,2024-02-09T16:15:35-05:00,BroadCom 800 GbE Switches,New switches with 10GBase-DR4 and 25GbE SFP28 capabilities.
Broadcom Inc.,AVGO,2023-11-22T09:14:41-05:00,New wireless Wi-Fi 6E system-on-a-chip (SoC),Next-generation SoC for Wi-Fi 6E applications
Broadcom Inc.,AVGO,2023-10-30T16:30:25-04:00,QuantumStorm 8K V2,A high-performance, 8K-resolution video processor for automotive and industrial applications.
Broadcom Inc.,AVGO,2023-08-16T16:48:52-04:00,Broadcom Ethernet Switch,New Ethernet Switch for enterprise networks, increasing performance and reliability.
Biocept Technologies Inc.,BIOC,2025-02-10T16:43:42-05:00,NexGenSeqTM 4.0,Next-generation sequencing solution for cancer diagnostics and research.
Bravado BioPharma Inc.,BR,2025-02-05T16:46:48-05:00,BRVOV-01,Topical cream for vitiligo treatment
BioRad Laboratories Inc.,BIOR,2023-01-16T14:15:00-05:00,VETScan 2.0,Next-generation, AI-powered diagnostic solution for veterinary care.
BioGenex Inc.,BRXN,2022-03-15T14:02:00-04:00,Cancer Therapy,Cancer therapy product with improved efficacy and reduced side effects.
Biotech Research Inc.,BR,2024-12-16T15:28:31-05:00,CellxCell Technology,Advanced cell therapy platform for treating rare genetic disorders
BioGenetic Technologies, Inc.,BR,2024-12-12T18:31:53-05:00,GALACTO 360,Galacto 360 is a novel immunotherapeutic product targeting treatment-resistant cancers.
BioNTech SE,BNTX,2024-09-10T17:08:52-04:00,BRINTEPLUMAB FOR THE TREATMENT OF PRIMARY PROGRESSIVE MMultiple Sclerosis,First-in-class, humanized monoclonal antibody targeting FcRH5 for the treatment of primary progressive MS
BioNTech SE,BNTX,2024-05-16T10:15:23-04:00,COVID-19 vaccine candidate BNT162.5,A new, highly attenuated variant of the COVID-19 vaccine BNT162.
Boston Scientific Corporation,BSX,2024-05-08T14:37:03-04:00,NexxFlow,A new catheter system designed to reduce the risk of blood clots and improve outcomes for patients undergoing cardiac ablation procedures.
BioNTech SE,BNTX,2024-02-16T09:58:40-05:00,RINTEGA,Inhaled triple therapy for asthma and COPD.
Braskem S.A.,BRSKF.U,2022-02-01T14:30:00-05:00,Bio-Polymer Pellets,Sustainable Bio-Based Polyethylene Pellets for Packaging Applications
BRO,BRO,2025-02-28T21:00:27-05:00,CathWorks CX 9000,Next-generation imaging platform for cardiovascular disease diagnosis and treatment.
BROOKFIELD HPC INC.,BVN,2024-06-05T17:17:00-04:00,Provenance 3.0,Provenance 3.0 is a new version of the company's data center and enterprise infrastructure software suite.
Brookfield Renewable Corp.,BRO,2024-02-20T21:04:06-05:00,Kapowsin Wind Project,Construction of 140 MW wind project in Oregon
Builder Inc.,BLDR,2025-02-20T07:00:32-05:00,BDX Pro,Artificial intelligence-powered home building platform.
BLDR,BLDR,2024-11-08T18:00:09-05:00,BD Live 360,Next-generation live streaming platform with spatial audio and advanced moderation tools
Builder Corp.,BLDR,2024-09-19T07:00:07-04:00,BuildingBlock Pro,An advanced construction simulation software for architects and engineers.
Builder Inc.,BLDR,2024-08-06T07:00:11-04:00,BD 3000,Modular, prefabricated homes
BLDR,BLDR,2024-02-29T16:16:31-05:00,Building Materials Solutions,Advancements in sustainable building materials and energy-efficient solutions
BLDR,BLDR,2023-06-14T16:21:30-04:00,BDSTX 6.25% Series A Cumulative Redeemable Preferred Stock,Series A Cumulative Redeemable Preferred Stock with a $25 par value and a redemption price of $25 per share.
BioGenex Pharmaceuticals Inc.,BG,2025-02-05T06:44:25-05:00,BEX1011,New treatment option for HER2 positive breast cancer
BioGenetic Systems Inc.,BG,2025-01-31T07:06:03-05:00,BG-101,Novel cancer immunotherapy treatment
Boeing Co,BA,2024-10-30T06:24:25-04:00,NMA (New Midsize Airplane),Next-generation, fuel-efficient mid-size commercial aircraft
Bettercancer Inc.,BCNCR,2024-10-07T08:15:40-04:00,Paximo,Immunotherapy treatment for cancer, with improved efficacy and reduced side effects.
Allegiant Travel Company Inc,ALGT,2024-09-17T16:01:21-04:00,Eclipse,New cruise ship design
Bristol Myers Squibb Company,BMY,2024-07-31T06:28:22-04:00,BREO EUI (Ubrogepant) Capsules for Injection, USP,New indication for acute treatment of migraine in adult patients with intractable nausea and vomiting
Biogen Inc.,BIGN,2024-06-24T14:11:27-04:00,BI 11021,A new treatment for multiple sclerosis
BioGenetic Systems Inc.,BG,2024-04-24T06:39:57-04:00,BioShield-X,Immunotherapy treatment for infectious diseases.
BXP,BXPTA,2024-05-24T16:06:57-04:00,Ceramic Tile Coating System,New eco-friendly coating for ceramic tiles.
Chewy Inc.,CHRW,2024-07-30T06:53:30-04:00,LickiStick Treats for Cats and Dogs,Prebiotic-infused treats for cats and dogs, available in a range of flavors.
CHRW,CHRW,2024-05-13T16:04:48-04:00,Lumina LED Lighting System,A new line of energy-efficient LED lighting solutions for commercial and residential use.
Chewy Inc.,CHRW,2023-12-29T16:21:51-05:00,Pet Insurance,Expanded pet insurance offerings, including enhanced veterinary coverage and rewards program.
Chewy Inc.,CHRW,2023-05-08T16:16:41-04:00,AtHome Dog Lube & Co.,New product to help with grooming and nail care for dogs.
Cannabis Discretion Solutions Inc.,CDNS,2024-12-12T16:20:05-05:00,Discreet Vape Cartridge,Disposable vape cartridge for discreet use.
Crispmedia Inc.,CDNS,2024-04-23T17:17:10-04:00,Cinema 2.0,Next-generation cinematic experience with advanced VR capabilities
Cannabis Dispensary and Nursery Co.,CDNS,2024-04-22T16:02:59-04:00,CBD-infused Topical Cream,Portable topical cream for localized pain relief with CBD extract, formulated with soothing aloe vera and tea tree oil.
Cannabis Science Group Inc.,CBIS,2024-03-05T10:55:49-04:00,CSG Hemp Oil CBD Tincture with Nano-Tech Delivery System,New hemp oil product featuring nano-tech delivery system for enhanced absorption
Cannabis Science Group Inc.,CBIS,2021-05-25T14:59:17-04:00,CBD-infused Topical Cream for Muscle and Joint Pain Relief,CBD-infused topical cream designed to provide relief from muscle and joint pain.
Cannonball Inc.,CDNS,2023-11-03T17:27:27-04:00,Quantum X,Next-gen AI-Powered Camera
CDNS,CDNS,2023-10-23T16:05:55-04:00,Epic Games Acquires CD Projekt Red,Acquisition of CD Projekt Red for $2 billion
Cannabis Science Group Inc.,CBIS,2023-08-02T17:45:25-04:00,CBD-based topical cream for skin care,New CBD-based topical cream designed to soothe and moisturize the skin.
CDNS,CDNS,2023-07-24T16:05:55-04:00,CDNS Announces the Release of its New Line of Air-Purifying Speakers with Integrated Alexa,The new line of speakers will feature a built-in air-purifying technology and integrated voice assistant capabilities, allowing users to control their smart home devices while also improving indoor air quality.
CZR Energy Solutions Inc.,CZR,2024-04-30T16:06:54-04:00,VX Series,new battery management system
CPT Energy Inc.,CPT,2024-04-17T16:59:15-04:00,Advanced Solar Panel Technology,A new generation of high-efficiency solar panels with improved durability and reduced environmental impact.
CPT,CPT,2024-02-01T16:23:52-05:00,New product announced,Newly released smartwatch with advanced health features.
CPT,CPT,2024-01-05T11:19:02-05:00,Enhanced Smartwatch,Advanced health monitoring and AI-powered fitness tracking
CPT Health Inc.,CPT,2023-11-03T13:47:30-04:00,Lumina Pod 2.0,Portable, at-home light therapy device for Seasonal Affective Disorder (SAD) and circadian rhythm disorders
CPT Global Resources Ltd.,CPT,2023-10-26T16:32:28-04:00,NeuroSight 2.0,Advanced non-invasive brain-computer interface
CPT Health Inc.,CPT,2023-08-03T16:32:52-04:00,EpiPen,new EpiPen injector with needleless design
CPT Inc.,CPT,2023-05-23T14:47:54-04:00,NovaGen,Novel biotechnology platform for cancer treatment.
CPT Technologies Inc.,CPT,2023-04-27T17:06:35-04:00,CPT-1000 Smart Home Security System,A comprehensive smart home security system with AI-powered threat detection and 24/7 monitoring.
CPT Health Inc.,CPT,2023-04-27T16:31:18-04:00,Azelastine Nasal Spray for Allergic Rhinitis,New treatment option for seasonal and persistent allergic rhinitis symptoms
Coca-Cola Company,CPB,2024-12-03T16:10:18-05:00,World Without Waste 2.0 Recycling Bottle,A new line of bottles made from recycled plastic for the World Without Waste initiative.
Campbell Soup Company,CPB,2024-10-02T16:10:55-04:00,Strawberry Poppy Seed Breaded Puffed Snack Cereal,A new cold puff cereal with the taste and texture of a fresh strawberry, featuring poppy seeds for added crunch
Caterpillar Inc.,CPB,2024-06-05T07:19:36-04:00,EcoTrack 35D Underground Loader,Next-generation underground loader featuring improved mobility and productivity.
Campbell Soup Company,CPB,2024-05-21T07:35:24-04:00,Purely Elizabeth Granola Bites,A line of organic, non-GMO granola bites made with wholesome ingredients and no artificial preservatives or flavors.
Conagra Brands, Inc.,CPB,2024-03-06T07:25:08-05:00,Pureed Pumpkin Puree in Compressed Cans,Expanded portfolio of organic and natural products
Chemours Company Inc.,COF,2025-03-14T17:34:37-04:00,EcoPur 10X Advanced,A new water treatment technology that uses nanoscale particles to remove impurities and contaminants
Citi Inc.,COF,2024-12-13T17:31:22-05:00,New Digital Mortgage Platform,A digital mortgage platform designed to streamline the mortgage application process
CIT Group Inc.,CIT,2024-09-13T17:31:19-04:00,Digital Banking Platform for Small and Medium-Sized Businesses,Enhanced digital banking solutions to support business growth
CAH Holdings Inc.,CAH,2024-11-01T06:47:40-04:00,Revive,A new line of functional beverages targeting the health and wellness market.
Cohen Enterprises Inc.,CAH,2024-08-14T06:36:10-04:00,EcoCycle ,A revolutionary, closed-loop recycling solution for hard-to-recycle plastics.
Caterpillar Inc.,CAT,2024-04-23T06:42:45-04:00,Cat 349B Excavator,New 349B Excavator features improved hydraulic power, enhanced comfort and productivity
Cahaba Scientific Inc.,CAH,2024-01-09T06:48:04-05:00,Microbial Analysis System,Next-generation microbial analysis platform for rapid detection of microorganisms
Caladrius Biosciences, Inc.,CAH,2023-11-16T16:12:12-05:00,Nuvaxovid Quadrivalent Flu Vaccine,Boosted quadrivalent flu vaccine for adults 18 years and older, including protection against influenza A viruses subtypes H1N1pdm09, H3N2, H4N8, and IIV3
Koch Foods LLC,KMX,2024-06-21T06:53:38-04:00,Delicious Chicken Nuggets,Delicious and crunchy chicken nuggets with no artificial preservatives or flavorings.
Kraft Heinz Company,KMX,2023-04-11T06:58:23-04:00,Krafbar Chocolate Bar,new chocolate bar launched
Kroger Holdings, Inc.,KR,2022-11-18T16:15:42-05:00,Enhanced Digital Grocery Platform,Kroger's digital platform to enhance grocery shopping experience
Kroger Co.,KR,2022-03-16T16:30:35-04:00,Kroger's digital food ordering and curbside pickup service launched at Kroger locations nationwide,Digital food ordering and curbside pickup service
KB Home,KMX,2021-12-29T08:24:31-05:00,Modular Homes,Modular home products with a focus on efficiency and sustainability
CCL Industries Inc.,CCL,2025-02-28T16:30:23-05:00,CCL Global Security Solutions,Advanced security solutions for the packaging and paper industries
CCL Industries Inc.,CCL,2025-02-18T07:22:29-05:00,SmartLabel for Apparel and Home Textiles,A new label press technology for the apparel and home textiles industries.
Carrizo Oil & Gas, Inc.,CRZO,2024-10-28T16:30:23-04:00,Hawk Ridge Appraisal Update,update to the appraisal report for Hawk Ridge oil field
Carrizo Oil & Gas, Inc.,CRZO,2024-10-28T08:16:26-04:00,Benzene Cracker Project,Construction of a benzene cracker facility at our Mont Belvieu complex in Texas.
Carrizo Oil & Gas Inc.,CRZO,2024-06-21T16:05:31-04:00,NewWell1H,Improved drilling technology
Monsanto Company,MONS,2023-05-02T14:03:33-04:00,Genetically Engineered Soybeans with Enhanced Drought Tolerance,Improved crop yields and reduced water consumption in soybean fields
Caterpillar Inc.,CAT,2024-10-30T06:33:36-04:00,Cat 330 Series Hydraulic Excavators,New hydraulic excavator series featuring improved power and productivity
Mellanox Technologies, Inc.,MLNX,2024-10-11T08:34:44-04:00,HCA510 and HCA530 InfiniBand Switches,Enhanced networking solutions for data center and cloud deployments
XRX Corporation,XRX,2024-08-06T06:32:05-04:00,Eclipse Press for HP Indigo 7000 Series,New high-speed digital press
Caterpillar Inc.,CAT,2024-06-14T16:05:51-04:00,IR550,Electric Hybrid Dozer for mining applications
Caterpillar Inc.,CAT,2024-04-03T06:29:33-04:00,Electric Modular Series for Rental Equipment,The Electric Modular Series offers a suite of electric-powered solutions for rental equipment, providing an alternative to traditional diesel-powered machinery.
Eastman Chemical Company,EMC,2024-02-05T06:31:52-05:00,EcoPure 1000,A new line of high-performance, biodegradable coatings for the automotive industry.
Caterpillar Inc.,CAT,2023-10-31T06:32:42-04:00,Cat 349F Wheel Loaders with Auto-Grid Technology,Enhanced hydraulic automation and improved material handling capabilities
CBOE,CBOE,2024-06-28T16:30:26-04:00,Smart Card Authentication,Enhanced security features for CBOE exchanges
CDW Inc.,CDW,2024-10-25T07:26:00-04:00,Evo 5i Desktop Workstation,A high-performance workstation designed for professionals and content creators.
CE Energy Solutions Inc.,CE,2025-03-19T16:54:27-04:00,GreenPower Fuels LP Acquisition,acquisition of 100% ownership interest in GreenPower Fuels LP
CE Energy Systems Inc.,CE,2025-03-14T16:03:31-04:00,SolarPlus - A Hybrid Solar-Powered Water Heater,A high-efficiency water heater that combines solar energy with traditional fuel sources for enhanced performance and reduced carbon footprint.
CE Energy Solutions Inc.,CE,2022-08-12T15:22:16-05:00,EcoPulse - a smart home energy management system,AI-powered, user-centric platform for optimizing energy efficiency and reducing greenhouse gas emissions.
Ceph Inc.,CEPH,2025-02-18T16:07:15-05:00,Ceph v22.2,Improved performance and data analytics capabilities for distributed file systems.
Cementos Argentinos S.A.,CE,2025-02-14T09:19:27-05:00,New cement line for industrial applications,High-strength cement for heavy industry, improves durability and reduces environmental impact.
CE Energy Solutions Inc.,CE,2025-01-16T16:19:33-05:00,EcoPulse Smart Thermostat,Energy-efficient smart thermostat with advanced AI-powered temperature control and integration with popular smart home systems.
CEI Holdings Inc.,CE,2024-12-19T16:12:48-05:00,N/A,N/A
Cerus Holdings Inc.,CE,2024-11-04T16:40:13-05:00,Gemstone Enhancer Technology,Advanced material processing technology for gemstone enhancement
Celgene Corporation,CELG,2024-08-01T16:44:51-04:00,Regen Cobalt,Regeneron and Celgene announce the investigational, gene therapy-based treatment Regen Cobalt for sickle cell disease
CE Energy Systems, Inc.,CE,2024-08-01T16:39:12-04:00,NexGen Energy Storage System,A new energy storage system designed for commercial and industrial applications.
Cormorant Resources Corp.,COR,2025-03-10T17:00:25-04:00,Corazon-1 Well,New well commencing drilling operations in the Corazon field.
CORBETT CORP,COR,2025-02-10T17:00:14-05:00,EcoCycle Pro,Smart recycling bin for household waste management
Corcept Pharmaceuticals Inc.,CORP,2023-08-04T12:02:38-05:00,SIPACTA for the Treatment of Pseudobulbar Affect (PBA) in Adults,SIPACTA is a monoclonal antibody designed to treat pseudobulbar affect (PBA), a condition characterized by involuntary laughter or crying.
CORBoration Inc.,COR,2024-12-10T16:30:30-05:00,BioShield Pro,New antibacterial mouthwash product
Coral Holdings Inc.,COR,2024-11-27T08:30:20-05:00,Verdi,Artificial Intelligence-powered smart home system
Corcept Pharmaceuticals Inc.,CORP,2024-11-08T07:00:19-05:00,Benzodiazepine Combination Therapy for Anxiety Disorders,COR-001, a novel benzodiazepine combination therapy, is an oral medication that combines a new benzodiazepine with a serotonin receptor antagonist to target anxiety disorders.
Corcept Pharmaceuticals Incorporated,COR,2024-10-15T16:02:07-04:00,CORCEPT 3000,Phase III Clinical Trial of CORCEPT 3000 for the Treatment of Attention Deficit Hyperactivity Disorder
Corcept Pharmaceuticals Inc.,CORP,2024-09-05T07:30:43-04:00,Bridion Oral Solution,New treatment for Alzheimer's disease
Cormorant Health Corporation,COR,2024-08-15T08:30:12-04:00,Opioid Treatment Option for Opioid Use Disorder,A new medication to treat opioid use disorder
Corcept Pharmaceuticals Inc.,CORP,2024-07-31T16:12:40-04:00,CORCEPT’s new oral treatment for ALZHEIMER’S disease,oral treatment
Corcept Pharmaceuticals Inc.,CPRX,2024-05-24T16:05:29-04:00,CX-001 for Parkinson's Disease,Phase 3 clinical trial results announced for its treatment of motor symptoms in PD.
CNC Capital Corporation,CNC,2023-09-14T12:00:13-04:00,Quantum Computing Module,High-performance computing module for quantum computing applications.
CNC Capital LLC,CNC,2024-11-12T17:48:21-05:00,EcoClean,Eco-friendly cleaning solution for household use
CNC Capital Corp.,CNC,2024-10-10T20:50:40-04:00,Enhanced Cybersecurity Solution,Advanced threat protection and incident response capabilities.
CNC Capital Corp.,CNC,2024-10-03T16:15:03-04:00,NewLine,an innovative line of digital payment solutions
CNC Capital Corp.,CNC,2024-09-09T20:52:44-04:00,Smartwatch,Smart wearable device with health monitoring and notification capabilities
CNC Capital Corporation,CNC,2024-07-25T18:07:28-04:00,EcoPulse 3.0 Energy Storage System,Advanced energy storage solution for renewable energy applications
CNC Capital Inc.,CNC,2024-05-15T17:36:51-04:00,AI-Powered Trade Management Platform,Artificial intelligence-driven platform to optimize trade execution and risk management
CNC Capital Inc.,CNC,2024-04-25T19:08:42-04:00,NexGen 3D Printer,Advanced 3D printing technology for industrial applications
CNP Inc.,CNP,2025-03-18T06:16:52-04:00,Aurora X,Next-gen wearable device for health monitoring and fitness tracking
CNP Inc.,CNP,2023-03-14T14:30:00-04:00,EcoCycle System,A sustainable recycling solution for households and businesses.
CNP Inc.,CNP,2024-11-12T06:14:46-05:00,Smart Bike Helmet,Advanced safety features and AI-powered navigation
CNP Inc.,CNP,2024-10-31T06:08:00-04:00,NeuroCore,Non-Invasive Brain Stimulation Device
CNP Inc.,CNP,2024-08-14T07:00:29-04:00,Revolutionary New Battery Technology,Significantly improved energy density and charging speed
CNP Inc.,CNP,2024-05-09T16:42:33-04:00,EcoCycle,A biodegradable plastic recycling system
CNP Inc.,CNP,2024-04-30T06:20:34-04:00,CNP-101,A new neurostimulator device for treating epilepsy
CNP,CNP,2024-03-08T06:32:44-05:00,Smart Home Security System,Advanced biometric authentication and AI-powered threat detection for residential customers.
Cementos Argosy S.A.,CF,2023-07-27T10:24:16-05:00,Loma Hermosa 4000,New cement with improved strength and durability
Cannabis Friendly Inc.,CF,2024-10-30T17:23:39-04:00,CBN Oil Tincture,Natural pain relief oil
Catalyst Inc.,CF,2024-06-20T16:05:15-04:00,NexGen Biosensor,Portable, high-sensitivity biosensor for detecting COVID-19 biomarkers.
BioGenex Incorporated,BGNX,2024-05-01T17:11:00-04:00,RapidDiag,Breakthrough diagnostic tool for rapid disease detection
Coca-Cola Company,KO,2024-02-14T17:23:58-05:00,Simply Fit,Low-calorie, sugar-free, and naturally sweetened sparkling water
Cannabix Bioscience Inc.,CBIXF,2024-02-05T16:30:35-05:00,CBX 2.0,Next-generation hemp seed with improved CBD and terpene profiles.
AstraZeneca PLC,AZN,2023-10-17T17:22:22-04:00,Emgalen 5% (Intravenous),First-line treatment for neutropenia-related infections
